Hotel Name,Original price,Price after discount,Tax,Rating,location
The Ritz-Carlton Bali,Rp 6.292.000,Rp 4.719.000,Inclusive of taxes,8.8,"Nusa Dua Beach, Bali"
The Patra Bali Resort & Villas,Rp 1.782.000,Rp 1.069.200,Inclusive of taxes,8.8,"Kuta, Bali"
favehotel Sunset Seminyak,Rp 816.480,Rp 612.360,Inclusive of taxes,8.5,"Seminyak, Bali"
Melia Bali,Rp 2.607.669,Rp 2.346.902,Inclusive of taxes,8.9,"Nusa Dua Beach, Bali"
THE 1O1 Bali Fontana Seminyak,Rp 1.733.333,Rp 1.300.000,Inclusive of taxes,8.6,"Legian, Bali"
Hotel Indigo BALI SEMINYAK BEACH,Rp 5.096.637,Rp 3.822.516,Inclusive of taxes,9.0,"Seminyak, Bali"
Mamaka by Ovolo,Rp 1.911.714,Rp 1.312.243,Inclusive of taxes,8.9,"Kuta, Bali"
The Trans Resort Bali,Rp 3.450.000,Rp 2.587.500,Inclusive of taxes,9.0,"Seminyak, Bali"
The Nest Hotel Nusa Dua,Rp 1.080.000,Rp 777.600,Inclusive of taxes,8.8,"Tanjung Benoa, Bali"
Plataran Canggu Resort and Spa,Rp 5.717.250,Rp 3.201.660,Inclusive of taxes,8.8,"Canggu, Bali"
Grand Whiz Hotel Nusa Dua,Rp 1.164.500,Rp 675.410,Inclusive of taxes,8.5,"Nusa Dua Beach, Bali"
Swiss-Belresort Watu Jimbar,Rp 1.180.000,Rp 843.700,Inclusive of taxes,8.6,"Sanur, Bali"
Hilton Garden Inn Bali Ngurah Rai Airport,Rp 1.116.250,Rp 893.000,Inclusive of taxes,8.5,"Tuban, Bali"
VOUK Hotel & Suites,Rp 1.570.000,Rp 1.161.800,Inclusive of taxes,8.2,"Nusa Dua Beach, Bali"
Lloyd's Inn Bali,Rp 1.959.404,Rp 1.345.049,Inclusive of taxes,8.6,"Seminyak, Bali"
Courtyard by Marriott Bali Seminyak Resort,Rp 2.662.000,Rp 1.996.500,Inclusive of taxes,9.0,"Seminyak, Bali"
Ramada by Wyndham Bali Sunset Road Kuta,Rp 852.163,Rp 639.122,Inclusive of taxes,8.2,"Kuta, Bali"
Grand Istana Rama Hotel,Rp 1.242.487,Rp 741.260,Inclusive of taxes,8.3,"Kuta, Bali"
Hotel Nikko Bali Benoa Beach,Rp 1.807.937,Rp 1.217.160,Inclusive of taxes,8.6,"Tanjung Benoa, Bali"
Boss Legian Hotel,Rp 491.323,Rp 450.001,Inclusive of taxes,8.2,"Legian, Bali"
Courtyard by Marriott Bali Nusa Dua Resort,Rp 2.581.333,Rp 1.936.000,Inclusive of taxes,8.6,"Nusa Dua Beach, Bali"
Aksari Resort Ubud,Rp 7.480.000,Rp 4.862.000,Inclusive of taxes,8.9,"Tegallalang, Bali"
Tijili Benoa Hotel,Rp 1.890.000,Rp 1.228.500,Inclusive of taxes,8.8,"Tanjung Benoa, Bali"
The St. Regis Bali Resort - CHSE Certified,Rp 10.164.000,Rp 7.623.000,Inclusive of taxes,9.0,"Nusa Dua Beach, Bali"
Swiss Belhotel Rainforest,Rp 1.113.333,Rp 835.000,Inclusive of taxes,8.3,"Kuta, Bali"
Bedrock Hotel Kuta Bali,Rp 1.530.000,Rp 703.800,Inclusive of taxes,8.6,"Kuta, Bali"
Four Seasons Resort Bali at Jimbaran Bay - CHSE Certified,Rp 24.377.467,Rp 18.283.100,Inclusive of taxes,8.8,"Jimbaran, Bali"
HARRIS Hotel Seminyak,Rp 1.005.000,Rp 904.500,Inclusive of taxes,8.5,"Seminyak, Bali"
Benoa Sea Suites and Villas,Rp 2.880.000,Rp 1.180.800,Inclusive of taxes,8.6,"Tanjung Benoa, Bali"
Grand Zuri Kuta Bali,Rp 1.136.591,Rp 750.150,Inclusive of taxes,8.6,"Kuta, Bali"
Prime Plaza Hotel Sanur – Bali,Rp 1.307.992,Rp 837.115,Inclusive of taxes,8.5,"Sanur, Bali"
Bali Paragon Resort Hotel,Rp 1.313.641,Rp 518.888,Inclusive of taxes,8.5,"Jimbaran, Bali"
Samabe Bali Suites & Villas,Rp 7.185.914,Rp 6.108.027,Inclusive of taxes,9.0,"Nusa Dua Beach, Bali"
Fairfield by Marriott Bali Kuta Sunset Road,Rp 1.581.067,Rp 1.185.800,Inclusive of taxes,8.7,"Kuta, Bali"
"Four Points by Sheraton Bali, Kuta",Rp 1.613.333,Rp 1.210.000,Inclusive of taxes,8.5,"Legian, Bali"
Alila Seminyak,Rp 7.381.485,Rp 5.536.114,Inclusive of taxes,8.9,"Seminyak, Bali"
Mercure Bali Legian,Rp 1.176.120,Rp 882.090,Inclusive of taxes,8.4,"Legian, Bali"
Grand Kuta Hotel & Residence,Rp 1.260.000,Rp 592.200,Inclusive of taxes,8.4,"Legian, Bali"
Pandawa Hill Resort,Rp 864.800,Rp 475.640,Inclusive of taxes,8.7,"Nusa Dua Beach, Bali"
Artotel Sanur - Bali,Rp 1.182.600,Rp 946.080,Inclusive of taxes,8.8,"Sanur, Bali"
Bulgari Resort Bali - CHSE Certified,Rp 37.348.667,Rp 28.011.500,Inclusive of taxes,9.2,"Pecatu, Bali"
Holiday Inn Resort Bali Benoa,Rp 2.572.999,Rp 1.929.787,Inclusive of taxes,9.0,"Tanjung Benoa, Bali"
Bhanuswari Resort & Spa,Rp 9.176.472,Rp 2.294.118,Inclusive of taxes,8.5,"Kemenuh, Bali"
Buana Bali Villas & Spa,Rp 5.580.000,Rp 3.906.000,Inclusive of taxes,8.9,"Jimbaran, Bali"
Le Meridien Bali Jimbaran - CHSE Certified,Rp 2.339.333,Rp 1.754.500,Inclusive of taxes,8.6,"Jimbaran, Bali"
Anantara Bali Uluwatu Resort,Rp 10.742.548,Rp 8.594.038,Inclusive of taxes,8.8,"Pecatu, Bali"
Hadi Poetra Hotel,Rp 1.034.000,Rp 351.560,Inclusive of taxes,8.2,"Kuta, Bali"
SIX SENSES ULUWATU BALI,Rp 23.934.017,Rp 17.950.513,Inclusive of taxes,8.4,"Pecatu, Bali"
"Mandapa, A Ritz-Carlton Reserve",Rp 21.175.001,Rp 15.881.251,Inclusive of taxes,8.7,"Kedewatan, Bali"
The Wakanda Resort A Pramana Experience,Rp 2.357.059,Rp 1.532.088,Inclusive of taxes,9.0,"Kemenuh, Bali"
BEST WESTERN Kuta Villa,Rp 540.000,Rp 432.000,Inclusive of taxes,8.1,"Kuta, Bali"
ibis Styles Bali Benoa,Rp 978.360,Rp 733.770,Inclusive of taxes,8.3,"Tanjung Benoa, Bali"
The Mulia - Nusa Dua,Rp 11.777.533,Rp 8.833.150,Inclusive of taxes,9.2,"Nusa Dua Beach, Bali"
Amaris Teuku Umar Denpasar,Rp 460.825,Rp 373.269,Inclusive of taxes,8.2,"West Denpasar, Bali"
Stark Boutique Hotel and Spa Bali,Rp 1.086.869,Rp 597.778,Inclusive of taxes,8.2,"Kuta, Bali"
b Hotel Bali & Spa,Rp 1.596.942,Rp 630.000,Inclusive of taxes,8.5,"West Denpasar, Bali"
Lovina Beach Club & Resort,Rp 1.521.000,Rp 1.140.750,Inclusive of taxes,8.5,"Lovina, Bali"
"Marriott's Autograph Collection, The Stones Hotel, Bali",Rp 2.920.133,Rp 2.190.100,Inclusive of taxes,8.8,"Marriott's Autograph Collection, The Stones Hotel, Bali"
Ohana Hotel Kuta,Rp 1.350.000,Rp 580.500,Inclusive of taxes,8.6,"Kuta, Bali"
Seminyak Icon by Karaniya Experience,Rp 7.362.500,Rp 2.282.375,Inclusive of taxes,8.7,"Seminyak, Bali"
SOL by Melia Benoa Bali-All Inclusive,Rp 1.599.624,Rp 1.396.023,Inclusive of taxes,8.4,"Tanjung Benoa, Bali"
HOTEL & RESIDENCES Riverview Kuta - Bali (Associated HARRIS),Rp 925.200,Rp 832.680,Inclusive of taxes,8.4,"Kuta, Bali"
Hotel Santika Kuta,Rp 945.000,Rp 614.250,Inclusive of taxes,8.6,"Kuta, Bali"
Wyndham Tamansari Jivva Resort,Rp 1.018.125,Rp 814.500,Inclusive of taxes,8.7,"Klungkung, Bali"
Nunamkhalu Private Villas & Spa,Rp 6.818.181,Rp 5.522.727,Inclusive of taxes,9.2,"Kutuh, Bali"
Kaamala Resort Ubud,Rp 5.073.821,Rp 4.109.795,Inclusive of taxes,9.1,"Ubud, Bali"
Abian Harmony Hotel & Spa,Rp 1.307.968,Rp 584.001,Inclusive of taxes,8.4,"Sanur, Bali"
ibis Styles Bali Denpasar,Rp 570.274,Rp 427.706,Inclusive of taxes,8.3,"West Denpasar, Bali"
"Four Points by Sheraton Bali, Ungasan",Rp 1.290.667,Rp 968.000,Inclusive of taxes,8.7,"Jimbaran, Bali"
Vinila Villas Nusa Dua by Nakula,Rp 5.568.750,Rp 3.898.125,Inclusive of taxes,8.8,"Nusa Dua, Bali"
Kamandalu Ubud,Rp 5.083.724,Rp 3.202.746,Inclusive of taxes,9.1,"Ubud, Bali"
The Light Exclusive Villa and Spa,Rp 1.788.600,Rp 1.341.450,Inclusive of taxes,8.3,"Seminyak, Bali"
Zizz Convention Hotel,Rp 800.001,Rp 600.001,Inclusive of taxes,8.3,"West Denpasar, Bali"
The Akmani Legian,Rp 1.144.243,Rp 800.970,Inclusive of taxes,8.6,"Legian, Bali"
The Vira Bali Boutique Hotel & Suite,Rp 2.821.500,Rp 1.269.675,Inclusive of taxes,8.7,"Kuta, Bali"
Famous Hotel Kuta,Rp 5.760.000,Rp 2.476.800,Inclusive of taxes,8.4,"Tuban, Bali"
Element by Westin Bali Ubud,Rp 1.936.000,Rp 1.452.000,Inclusive of taxes,9.0,"Ubud, Bali"
Four Seasons Resort Bali at Sayan - CHSE Certified,Rp 22.102.667,Rp 16.577.000,Inclusive of taxes,9.2,"Sayan, Bali"
POP! Hotel Denpasar - Bali,Rp 380.000,Rp 342.000,Inclusive of taxes,8.0,"North Denpasar, Bali"
Fairfield by Marriott Bali Legian,Rp 1.903.733,Rp 1.427.800,Inclusive of taxes,8.7,"Legian, Bali"
"The Westin Resort & Spa Ubud, Bali",Rp 4.356.000,Rp 3.267.000,Inclusive of taxes,9.0,"The Westin Resort & Spa Ubud, Bali"
Kuta Seaview Boutique Hotel & Spa,Rp 3.330.000,Rp 1.831.500,Inclusive of taxes,8.6,"Kuta, Bali"
Aloft Bali Seminyak- CHSE Certified,Rp 2.065.067,Rp 1.548.800,Inclusive of taxes,8.8,"Seminyak, Bali"
Jumeirah Bali,Rp 15.477.028,Rp 10.624.158,Inclusive of taxes,n/a,"Pecatu, Bali"
Jumeirah Bali,Rp 15.477.028,Rp 10.624.158,Inclusive of taxes,n/a,"Pecatu, Bali"
Hotel Zia Bali - Kuta,Rp 1.303.935,Rp 1.056.187,Inclusive of taxes,8.3,"Kuta, Bali"
Bali Elephant,Rp 540.000,Rp 270.000,Inclusive of taxes,7.9,"Jimbaran, Bali"
Alam Kawi Ubud Resort & Spa,Rp 900.000,Rp 135.000,Inclusive of taxes,8.7,"Tampaksiring, Bali"
Grand Mirage Resort & Thalasso Bali,Rp 1.881.187,Rp 1.722.971,Inclusive of taxes,8.5,"Tanjung Benoa, Bali"
CLIO APARTMENTS,Rp 900.000,Rp 810.000,Inclusive of taxes,8.7,"Seminyak, Bali"
"Sthala, a Tribute Portfolio Hotel, Ubud Bali",Rp 2.097.333,Rp 1.573.000,Inclusive of taxes,9.0,"Ubud, Bali"
SereS Springs Resort & Spa,Rp 2.766.060,Rp 1.797.939,Inclusive of taxes,9.0,"Ubud, Bali"
Sithala Villa Seminyak,Rp 4.320.000,Rp 3.240.000,Inclusive of taxes,8.8,"Seminyak, Bali"
The Ritz-Carlton Bali Villas,Rp 14.600.667,Rp 10.950.500,Inclusive of taxes,8.7,"Nusa Dua Beach, Bali"
ZURI Express Jimbaran,Rp 511.875,Rp 409.500,Inclusive of taxes,8.6,"Jimbaran, Bali"
The Grand Bali Nusa Dua,Rp 1.567.500,Rp 1.175.625,Inclusive of taxes,8.6,"Nusa Dua Beach, Bali"
Padma Resort  Legian,Rp 10.664.100,Rp 3.305.871,Inclusive of taxes,9.1,"Legian, Bali"
Mars City Hotel,Rp 592.200,Rp 248.724,Inclusive of taxes,7.8,"South Denpasar, Bali"
Klapa Resort,Rp 2.160.000,Rp 1.836.000,Inclusive of taxes,8.5,"Pecatu, Bali"
Amaroossa Suite Bali,Rp 826.500,Rp 528.960,Inclusive of taxes,7.9,"Nusa Dua, Bali"
The Vasini Hotel,Rp 585.000,Rp 257.400,Inclusive of taxes,8.3,"East Denpasar, Bali"
Puri Padma Hotel,Rp 1.890.000,Rp 945.000,Inclusive of taxes,8.7,"Ubud, Bali"
Karma Kandara,Rp 9.040.330,Rp 8.279.999,Inclusive of taxes,8.5,"Ungasan, Bali"
Kutus Kutus Saba Beach Villa,Rp 3.781.819,Rp 3.063.273,Inclusive of taxes,n/a,"Saba, Bali"
Royal Regantris Kuta,Rp 465.483,Rp 377.041,Inclusive of taxes,8.6,"Kuta, Bali"
The Jas Villas,Rp 4.095.000,Rp 1.269.450,Inclusive of taxes,8.2,"Seminyak, Bali"
Watermark Hotel and Spa Bali,Rp 1.099.156,Rp 754.540,Inclusive of taxes,8.7,"Jimbaran, Bali"
The Kana Kuta Hotel,Rp 1.284.904,Rp 703.499,Inclusive of taxes,8.7,"Kuta, Bali"
Ashoka Tree Resort at Tanggayuda,Rp 1.260.000,Rp 604.800,Inclusive of taxes,8.6,"Kedewatan, Bali"
Solia Legian Bali,Rp 810.000,Rp 583.200,Inclusive of taxes,8.8,"Legian, Bali"
Jumana Bali Ungasan Resort Managed by Hilton,Rp 12.906.667,Rp 9.680.000,Inclusive of taxes,8.8,"Ungasan, Bali"
Taksu Sanur Hotel,Rp 1.600.200,Rp 800.100,Inclusive of taxes,8.7,"Sanur, Bali"
Bali Garden Beach Resort,Rp 2.160.000,Rp 1.620.000,Inclusive of taxes,8.4,"Kuta, Bali"
J4 Hotels Legian,Rp 6.966.000,Rp 2.786.400,Inclusive of taxes,8.6,"Legian, Bali"
The Wangsa Hotel and Villas Benoa,Rp 807.600,Rp 605.700,Inclusive of taxes,8.5,"Tanjung Benoa, Bali"
ibis Bali Kuta,Rp 634.799,Rp 476.099,Inclusive of taxes,8.2,"Tuban, Bali"
Best Western Premier Agung Resort Ubud,Rp 1.314.000,Rp 1.051.200,Inclusive of taxes,8.8,"Ubud, Bali"
Kayangan Villa Ubud,Rp 1.372.750,Rp 892.288,Inclusive of taxes,8.9,"Tegallalang, Bali"
Villa Seminyak Estate & Spa By Astadala,Rp 1.368.000,Rp 957.600,Inclusive of taxes,8.7,"Seminyak, Bali"
Ulu Segara Luxury Suites and Villas,Rp 2.195.389,Rp 1.778.265,Inclusive of taxes,8.8,"Nusa Dua Beach, Bali"
Marriott Bali Nusa Dua Gardens - CHSE Certified,Rp 3.630.000,Rp 2.722.500,Inclusive of taxes,8.8,"Nusa Dua Beach, Bali"
Bali Tropic Resort & Spa,Rp 2.137.500,Rp 1.389.375,Inclusive of taxes,8.5,"Tanjung Benoa, Bali"
Mercure Resort Sanur,Rp 998.760,Rp 914.760,Inclusive of taxes,8.4,"Sanur, Bali"
Bali Relaxing Resort & Spa,Rp 1.479.600,Rp 739.800,Inclusive of taxes,8.5,"Tanjung Benoa, Bali"
Padmasari Resort,Rp 2.700.000,Rp 1.620.000,Inclusive of taxes,8.7,"Lovina, Bali"
Sanur Agung Hotel,Rp 332.500,Rp 266.000,Inclusive of taxes,7.9,"Sanur, Bali"
Grandmas Plus Hotel - Legian,Rp 2.666.666,Rp 1.173.333,Inclusive of taxes,8.8,"Legian, Bali"
Tijili Seminyak,Rp 1.409.902,Rp 967.779,Inclusive of taxes,8.9,"Seminyak, Bali"
Best Western Resort Kuta,Rp 639.000,Rp 511.200,Inclusive of taxes,8.1,"Kuta, Bali"
Om Ham Retreat and Resort,Rp 990.000,Rp 495.000,Inclusive of taxes,9.0,"Tegallalang, Bali"
ION Bali Benoa Hotel,Rp 720.000,Rp 331.200,Inclusive of taxes,8.1,"Tanjung Benoa, Bali"
Titik Dua,Rp 2.392.000,Rp 2.272.400,Inclusive of taxes,9.1,"Ubud, Bali"
Sujiwa Ubud Retreat Villa,Rp 674.100,Rp 370.755,Inclusive of taxes,8.6,"Kemenuh, Bali"
The Bene - By Astadala,Rp 685.886,Rp 628.200,Inclusive of taxes,8.3,"Kuta, Bali"
Holiday Inn Express BARUNA BALI,Rp 1.421.141,Rp 1.065.894,Inclusive of taxes,8.4,"Kuta, Bali"
New Sunari Lovina Beach Resort,Rp 702.000,Rp 442.260,Inclusive of taxes,7.7,"Lovina, Bali"
Kastara Resort,Rp 4.995.000,Rp 2.597.400,Inclusive of taxes,8.9,"Payangan, Bali"
"The Laguna, a Luxury Collection Resort & Spa, Nusa Dua, Bali",Rp 5.646.667,Rp 4.235.000,Inclusive of taxes,9.0,"The Laguna, a Luxury Collection Resort & Spa, Nusa Dua, Bali"
Paisa Seminyak Living,Rp 1.989.833,Rp 1.611.765,Inclusive of taxes,8.4,"Seminyak, Bali"
Renaissance Bali Uluwatu Resort & Spa,Rp 52.191.333,Rp 39.143.500,Inclusive of taxes,9.0,"Ungasan, Bali"
Cara Cara Inn,Rp 390.600,Rp 300.762,Inclusive of taxes,8.8,"Kuta, Bali"
Negara Hotel,Rp 405.000,Rp 202.500,Inclusive of taxes,8.0,"Negara, Bali"
bvilla+spa,Rp 3.915.723,Rp 3.752.500,Inclusive of taxes,8.3,"Seminyak, Bali"
Arena Living,Rp 1.260.000,Rp 554.400,Inclusive of taxes,8.9,"Sanur, Bali"
Mara River Safari Lodge,Rp 8.702.479,Rp 6.526.859,Inclusive of taxes,8.6,"Keramas, Bali"
Bali Nusa Dua Hotel,Rp 1.890.000,Rp 1.096.200,Inclusive of taxes,8.9,"Nusa Dua, Bali"
Praja Hotel,Rp 302.921,Rp 245.366,Inclusive of taxes,8.5,"South Denpasar, Bali"
S18 Bali Villas,Rp 3.811.500,Rp 2.429.831,Inclusive of taxes,8.9,"Legian, Bali"
Ayola Bali Jimbaran,Rp 384.000,Rp 288.000,Inclusive of taxes,8.4,"Jimbaran, Bali"
The Lovina Bali,Rp 3.366.250,Rp 1.851.438,Inclusive of taxes,8.9,"Lovina, Bali"
The Samaya Seminyak,Rp 11.979.000,Rp 8.145.720,Inclusive of taxes,8.5,"Seminyak, Bali"
Bumi Linggah Villas Bali,Rp 1.845.375,Rp 830.419,Inclusive of taxes,8.8,"Sukawati, Bali"
Bumi Linggah Villas Bali,Rp 1.845.375,Rp 830.419,Inclusive of taxes,8.8,"Sukawati, Bali"
Hotel Puri Ayu,Rp 725.000,Rp 326.250,Inclusive of taxes,8.2,"West Denpasar, Bali"
Plataran Ubud Hotel and Spa,Rp 2.286.900,Rp 1.715.175,Inclusive of taxes,8.9,"Monkey Forest, Bali"
Maison Aurelia Sanur - by Préférence,Rp 2.840.000,Rp 2.130.000,Inclusive of taxes,8.8,"Sanur, Bali"
Grand Barong Resort Bali,Rp 855.000,Rp 684.000,Inclusive of taxes,8.6,"Poppies, Bali"
Signature Seminyak Smart Hotel,Rp 558.000,Rp 418.500,Inclusive of taxes,8.3,"Seminyak, Bali"
Prana Villa Jimbaran,Rp 534.843,Rp 374.390,Inclusive of taxes,8.5,"Jimbaran, Bali"
The Crystal Luxury Bay Resort Nusa Dua - Bali,Rp 1.940.125,Rp 873.056,Inclusive of taxes,8.1,"Nusa Dua, Bali"
The Sintesa Jimbaran Bali,Rp 764.716,Rp 524.897,Inclusive of taxes,8.3,"Jimbaran, Bali"
The Garcia Ubud Hotel and Resort,Rp 4.418.582,Rp 1.972.873,Inclusive of taxes,9.0,"Ubud, Bali"
Amnaya Resort Nusa Dua,Rp 9.339.574,Rp 4.296.204,Inclusive of taxes,9.1,"Tanjung Benoa, Bali"
Jas Green Villas And Spa,Rp 4.005.000,Rp 1.241.550,Inclusive of taxes,8.1,"Seminyak, Bali"
SOL by Meliá Kuta Bali,Rp 1.150.569,Rp 917.610,Inclusive of taxes,8.3,"Kuta, Bali"
One Eleven,Rp 10.800.000,Rp 8.100.000,Inclusive of taxes,9.2,"Seminyak, Bali"
18 Suite Villa Loft,Rp 1.133.334,Rp 850.000,Inclusive of taxes,9.0,"Kuta, Bali"
d’primahotel Seminyak,Rp 972.000,Rp 826.200,Inclusive of taxes,8.3,"Seminyak, Bali"
OYO Flagship 2688 Guntur Hotel,Rp 313.000,Rp 244.140,Inclusive of taxes,7.7,"East Denpasar, Bali"
Asoka City Bali,Rp 390.000,Rp 292.500,Inclusive of taxes,8.0,"Kuta, Bali"
OYO 3261 Hotel Ratu,Rp 165.471,Rp 129.067,Inclusive of taxes,7.5,"West Denpasar, Bali"
Amnaya Resort Kuta,Rp 2.871.489,Rp 1.320.885,Inclusive of taxes,9.0,"Kuta, Bali"
Prime Plaza Suites Sanur – Bali,Rp 1.741.300,Rp 1.305.975,Inclusive of taxes,8.6,"Sanur, Bali"
Yan's House Hotel,Rp 2.975.000,Rp 952.000,Inclusive of taxes,9.0,"Kuta, Bali"
Candi Beach Resort and Spa,Rp 3.970.800,Rp 2.382.480,Inclusive of taxes,8.7,"Candidasa, Bali"
OYO 2225 Catur Adi Putra,Rp 179.318,Rp 139.868,Inclusive of taxes,7.9,"West Denpasar, Bali"
Artotel Haniman Ubud,Rp 1.887.717,Rp 1.295.840,Inclusive of taxes,9.0,"Ubud, Bali"
InterContinental Hotels BALI RESORT,Rp 5.145.998,Rp 3.859.423,Inclusive of taxes,8.9,"Jimbaran, Bali"
Segara Village Hotel,Rp 1.839.165,Rp 1.524.239,Inclusive of taxes,8.7,"Sanur, Bali"
Link Costel,Rp 333.335,Rp 250.001,Inclusive of taxes,8.1,"West Denpasar, Bali"
Sari Villa Ubud,Rp 999.999,Rp 609.999,Inclusive of taxes,8.7,"Kedewatan, Bali"
